gameDuration,championName,win,allInPings,baitPings,basicPings,commandPings,dangerPings,enemyMissingPings,enemyVisionPings,getBackPings,holdPings,needVisionPings,onMyWayPings,pushPings
00:27:14,Lucian,true,2,0,0,14,0,1,1,1,1,0,15,0
00:39:20,Jinx,true,0,0,0,30,0,6,0,1,0,0,15,0
00:21:19,Nautilus,false,0,0,0,1,0,2,3,0,0,0,1,0
00:32:00,Samira,false,1,0,0,16,0,2,2,0,1,0,15,0
00:18:30,Gragas,false,1,0,0,6,0,2,0,0,0,0,6,0
00:40:21,Zeri,true,1,0,0,24,0,8,0,10,1,0,21,0
00:26:00,Aphelios,true,0,0,0,11,0,2,0,0,0,0,4,0
00:21:42,Jinx,false,0,0,0,7,0,2,0,0,0,0,1,0
00:36:54,Vi,true,1,0,0,19,0,13,4,1,0,0,28,0
00:29:04,Ezreal,true,0,0,0,11,0,8,5,2,0,0,4,0
00:22:55,Zeri,false,0,1,0,8,0,1,3,0,0,0,3,0
00:26:07,Lulu,false,1,0,0,13,0,5,0,5,0,0,20,0
00:18:03,Nautilus,true,0,0,0,8,0,5,1,0,1,0,11,0
00:35:32,Pyke,true,1,0,0,11,0,5,7,0,0,0,12,0
00:01:52,Zeri,true,0,0,0,0,0,1,0,0,0,0,0,0
00:21:37,Rakan,true,0,2,0,15,0,7,4,3,1,1,31,0
00:25:33,Jinx,false,2,0,0,9,0,9,0,0,0,0,9,0
00:31:12,Aphelios,true,0,0,0,12,0,2,1,1,0,0,11,0
00:21:01,Jinx,true,1,0,0,9,0,0,0,0,0,0,8,0
00:39:50,Jinx,true,0,0,0,16,0,3,0,2,1,0,29,0
00:37:15,Zeri,true,0,0,0,8,0,6,1,3,1,0,12,0
00:23:21,Jinx,false,1,0,0,6,0,3,0,1,0,0,15,0
00:29:08,Ezreal,true,0,0,0,7,0,6,0,1,0,1,11,0
00:31:34,Ezreal,true,1,0,0,6,0,6,6,0,0,0,17,0
00:39:13,Thresh,false,1,1,0,32,0,4,0,5,0,0,24,0
00:07:21,Veigar,false,0,0,0,3,0,0,0,1,0,0,1,0
00:33:28,Veigar,false,1,2,0,24,0,10,5,2,0,0,38,2
00:24:46,Nautilus,true,0,0,0,20,0,8,0,4,0,0,17,0
00:34:11,LeeSin,false,4,0,0,7,0,6,1,0,0,1,25,0
00:23:04,Thresh,false,3,0,0,6,0,12,0,1,1,0,2,0
00:25:27,Thresh,false,0,0,0,19,0,5,1,0,0,1,7,0
00:25:07,Veigar,false,0,0,0,8,0,3,0,0,0,0,0,0
00:27:49,Rakan,false,1,0,0,15,0,7,4,7,2,1,9,0
00:28:32,Leblanc,false,1,0,0,12,0,3,5,3,1,2,7,0
00:21:56,Lucian,false,0,1,0,3,0,11,1,1,0,0,11,0
00:15:17,Draven,true,1,0,0,5,0,2,0,1,0,0,4,0
00:01:46,Ahri,false,0,0,0,0,0,1,0,2,0,0,0,0
00:27:38,Yone,true,0,1,0,9,0,10,9,6,0,0,22,0
00:31:27,Varus,true,0,1,0,25,0,12,4,5,0,0,18,0
00:31:26,Lucian,true,2,1,0,23,0,8,2,12,2,0,27,0
00:25:30,Zeri,true,0,4,0,5,0,14,2,0,0,0,6,0
00:33:56,Varus,true,1,0,0,31,0,1,1,7,0,0,41,0
00:36:24,Thresh,true,2,0,0,17,0,6,3,0,0,0,19,1
00:32:54,Jinx,false,0,0,0,16,0,6,0,9,0,0,16,1
00:32:12,Lucian,true,0,0,0,10,0,4,2,1,0,0,14,0
00:15:18,Jinx,true,0,0,0,15,0,0,0,1,0,0,4,0
